 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos 

[    0    0.000            2000              -2              -1;
     1    0.022            2000             308              20;
     2    0.044            2000             942              21;
     3    0.066            2000            1331              87;
     4    0.089            2000            1566             260;
     5    0.111            2000            1706             517;
     6    0.133            2000            1794             842;
     7    0.155            2000            1858            1233;
     8    0.177            2000            1897            1645;
     9    0.199            2000            1941            2081;
    10    0.221            2000            1961            2509;
    11    0.243            2000            1982            2860;
    12    0.266            2000            2008            3143;
    13    0.288            2000            2020            3354;
    14    0.310            2000            2029            3443;
    15    0.332            2000            2040            3427;
    16    0.354            2000            2042            3314;
    17    0.376            2000            2041            3107;
    18    0.398            2000            2041            2833;
    19    0.421            2000            2032            2508;
    20    0.443            2000            2023            2141;
    21    0.465            2000            2015            1781;
    22    0.487            2000            1998            1437;
    23    0.509            2000            1988            1133;
    24    0.531            2000            1977             904;
    25    0.553            2000            1965             755;
    26    0.576            2000            1958             685;
    27    0.598            2000            1957             717;
    28    0.620            2000            1953             835;
    29    0.642            2000            1954            1026;
    30    0.664            2000            1956            1273;
    31    0.686            2000            1964            1562;
    32    0.708            2000            1973            1877;
    33    0.730            2000            1981            2196;
    34    0.753            2000            1987            2480;
    35    0.775            2000            2002            2720;
    36    0.797            2000            2014            2912;
    37    0.819            2000            2019            3028;
    38    0.841            2000            2025            3059;
    39    0.863            2000            2029            3014;
    40    0.885            2000            2032            2907;
    41    0.908            2000            2031            2741;
    42    0.930            2000            2026            2525;
    43    0.952            2000            2021            2269;
    44    0.974            2000            2017            2006;
    45    0.996            2000            2006            1753;
    46    1.018            2000            1993            1513;
    47    1.040            2000            1986            1310;
    48    1.063            2000            1979            1165;
    49    1.085            2000            1973            1083;
    50    1.107            2000            1969            1065;
    51    1.129            2000            1966            1108;
    52    1.151            2000            1967            1205;
    53    1.173            2000            1968            1357;
    54    1.195            2000            1969            1544;
    55    1.217            2000            1974            1751;
    56    1.240            2000            1981            1970;
    57    1.262            2000            1985            2182;
    58    1.284            2000            1994            2371;
    59    1.306            2000            2001            2527;
    60    1.328            2000            2007            2637;
    61    1.350            2000            2013            2691;
    62    1.372            2000            2016            2691;
    63    1.395            2000            2019            2643;
    64    1.417            2000            2019            2552;
    65    1.439            2000            2017            2423;
    66    1.461            2000            2014            2266;
    67    1.483            2000            2010            2096;
    68    1.505               0            2006            1928;
    69    1.527               0            1461            1736;
    70    1.549               0             915            1582;
    71    1.572               0             574            1365;
    72    1.594               0             369            1078;
    73    1.616               0             241             750;
    74    1.638               0             157             401;
    75    1.660               0             101              35;
    76    1.682               0              63            -304;
    77    1.704               0              21            -629;
    78    1.727               0               7            -900;
    79    1.749               0             -10           -1073;
    80    1.771               0             -33           -1174;
    81    1.793               0             -39           -1195;
    82    1.815               0             -42           -1118;
    83    1.837               0             -48            -974;
    84    1.859               0             -43            -767;
    85    1.882               0             -39            -508;
    86    1.904               0             -34            -228;
    87    1.926               0             -18              64;
    88    1.948               0             -10             350;
    89    1.970               0               2             595;
    90    1.992               0              16             798;
    91    2.014               0              24             941;
    92    2.036               0              30            1001;
    93    2.059               0              41             994;
    94    2.081               0              40             927;
    95    2.103               0              39             788;
    96    2.125               0              39             604;
    97    2.147               0              34             389;
    98    2.169               0              28             156;
    99    2.191               0              19             -81;
   100    2.214               0               6            -312;
   101    2.236               0              -1            -514;
   102    2.258               0              -9            -658;
   103    2.280               0             -23            -754;
   104    2.302               0             -27            -799;
   105    2.324               0             -28            -779;
   106    2.346               0             -31            -703;
   107    2.368               0             -31            -583;
   108    2.391               0             -29            -433;
   109    2.413               0             -25            -260;
   110    2.435               0             -16             -70;
   111    2.457               0             -10             123;
   112    2.479               0              -7             291;
   113    2.501               0               4             433;
   114    2.523               0              14             544;
   115    2.546               0              18             611;
   116    2.568               0              21             626;
   117    2.590               0              24             596;
   118    2.612               0              25             527;
   119    2.634               0              26             431;
   120    2.656               0              22             309;
   121    2.678               0              19             170;
   122    2.701               0              16              28;
   123    2.723               0               8            -108;
   124    2.745               0               2            -232;
   125    2.767               0              -3            -330;
   126    2.789               0              -8            -399;
   127    2.811               0             -13            -436;
   128    2.833               0             -14            -437;
   129    2.855               0             -16            -408;
   130    2.878               0             -17            -356;
   131    2.900               0             -16            -284;
   132    2.922               0             -14            -199;
   133    2.944               0             -12            -103;
   134    2.966               0              -9              -4;
   135    2.988               0              -7              85;
   136    3.010               0              -2             162;
   137    3.033               0               4             226;
   138    3.055               0               7             269;
   139    3.077               0               9             287;
   140    3.099               0              11             282;
   141    3.121               0              12             264;
   142    3.143               0              13             235;
   143    3.165               0              11             192;
   144    3.188               0              10             137;
   145    3.210               0              10              79;
   146    3.232               0               8              26;
   147    3.254               0               3             -27;
   148    3.276               0               1             -74;
   149    3.298               0               0            -105;
   150    3.320               0              -2            -123;
   151    3.342               0              -4            -129;
   152    3.365               0              -6            -126;
   153    3.387               0              -5            -116;
   154    3.409               0              -4            -101;
   155    3.431               0              -5             -83;
   156    3.453               0              -5             -65;
   157    3.475               0              -4             -45;
   158    3.497               0              -3             -23;
   159    3.520               0              -2              -2;
   160    3.542               0              -2              15;
   161    3.564               0              -2              26;
   162    3.586               0              -2              27;
   163    3.608               0              -0              25;
   164    3.630               0              -1              20;
   165    3.652               0              -0              15;
   166    3.674               0              -1              11;
   167    3.697               0              -0               8;
   168    3.719               0              -0               8;
   169    3.741               0              -0               9;
   170    3.763               0              -0               8;
   171    3.785               0              -1               7;
   172    3.807               0              -0               9;
   173    3.829               0              -0               9;
   174    3.852               0              -1               8;
   175    3.874               0              -1               7;
   176    3.896               0              -0               8;
   177    3.918               0              -1               9;
   178    3.940               0              -1               8;
   179    3.962               0              -1               7;
   180    3.984               0              -1               8;
   181    4.007               0              -0               9;
   182    4.029               0              -1               8;
   183    4.051               0              -1               7;
