 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos 

[    0    0.000            2000               0               0;
     1    0.044            2000             340               9;
     2    0.089            2000             632              88;
     3    0.133            2000             859             292;
     4    0.177            2000            1044             619;
     5    0.221            2000            1201            1044;
     6    0.266            2000            1342            1479;
     7    0.310            2000            1471            1856;
     8    0.354            2000            1581            2096;
     9    0.398            2000            1677            2182;
    10    0.443            2000            1751            2110;
    11    0.487            2000            1800            1969;
    12    0.531            2000            1828            1799;
    13    0.576            2000            1845            1659;
    14    0.620            2000            1849            1584;
    15    0.664            2000            1853            1597;
    16    0.708            2000            1855            1665;
    17    0.753            2000            1862            1763;
    18    0.797            2000            1869            1868;
    19    0.841            2000            1880            1943;
    20    0.885            2000            1888            1980;
    21    0.930            2000            1899            1974;
    22    0.974            2000            1904            1955;
    23    1.018            2000            1910            1937;
    24    1.063            2000            1915            1937;
    25    1.107            2000            1920            1938;
    26    1.151            2000            1924            1941;
    27    1.195            2000            1928            1940;
    28    1.240            2000            1932            1943;
    29    1.284            2000            1935            1942;
    30    1.328            2000            1937            1944;
    31    1.372            2000            1938            1944;
    32    1.417            2000            1940            1945;
    33    1.461            2000            1940            1945;
    34    1.505               0            1942            1946;
    35    1.549               0            1602            1937;
    36    1.594               0            1314            1857;
    37    1.638               0            1090            1649;
    38    1.682               0             906            1321;
    39    1.727               0             752             900;
    40    1.771               0             610             470;
    41    1.815               0             483             100;
    42    1.859               0             373            -135;
    43    1.904               0             279            -214;
    44    1.948               0             208            -145;
    45    1.992               0             158               1;
    46    2.036               0             127             171;
    47    2.081               0             109             313;
    48    2.125               0             104             388;
    49    2.169               0             100             372;
    50    2.214               0              97             298;
    51    2.258               0              89             196;
    52    2.302               0              81              94;
    53    2.346               0              67              13;
    54    2.391               0              52             -31;
    55    2.435               0              39             -35;
    56    2.479               0              31             -25;
    57    2.523               0              27             -10;
    58    2.568               0              25              -2;
    59    2.612               0              24               2;
    60    2.656               0              23               3;
    61    2.701               0              22               3;
    62    2.745               0              22               3;
    63    2.789               0              22               3;
    64    2.833               0              21               3;
    65    2.878               0              21               4;
    66    2.922               0              21               4;
    67    2.966               0              21               4;
    68    3.010               0              21               4;
    69    3.055               0              21               4;
    70    3.099               0              21               4;
    71    3.143               0              21               4;
    72    3.188               0              21               4;
    73    3.232               0              20               4;
    74    3.276               0              20               4;
    75    3.320               0              20               4;
    76    3.365               0              20               4;
    77    3.409               0              20               4;
    78    3.453               0              20               4;
    79    3.497               0              20               4;
    80    3.542               0              20               4;
    81    3.586               0              20               4;
    82    3.630               0              20               4;
    83    3.674               0              20               4;
    84    3.719               0              20               4;
    85    3.763               0              20               4;
    86    3.807               0              20               4;
    87    3.852               0              20               4;
    88    3.896               0              20               4;
    89    3.940               0              20               4;
    90    3.984               0              20               4;
    91    4.029               0              20               4;
    92    4.073               0              20               4;
    93    4.117               0              20               4;
    94    4.161               0              20               4;
    95    4.206               0              20               4;
    96    4.250               0              20               4;
    97    4.294               0              20               4;
    98    4.339               0              20               4;
    99    4.383               0              20               4;
   100    4.427               0              20               4;
   101    4.471               0              20               4;
   102    4.516               0              20               4;
   103    4.560               0              20               4;
   104    4.604               0              20               4;
   105    4.648               0              20               4;
   106    4.693               0              20               4;
   107    4.737               0              20               4;
   108    4.781               0              20               4;
   109    4.826               0              20               4;
   110    4.870               0              20               4;
   111    4.914               0              20               4;
   112    4.958               0              20               4;
   113    5.003               0              20               4;
   114    5.047               0              20               4;
   115    5.091               0              20               4;
   116    5.135               0              20               4;
   117    5.180               0              20               4;
   118    5.224               0              20               4;
   119    5.268               0              20               4;
   120    5.313               0              20               4;
   121    5.357               0              20               4;
   122    5.401               0              20               4;
   123    5.445               0              20               4;
   124    5.490               0              20               4;
   125    5.534               0              20               4;
   126    5.578               0              20               4;
   127    5.622               0              20               4;
   128    5.667               0              20               4;
   129    5.711               0              20               4;
   130    5.755               0              20               4;
   131    5.799               0              20               4;
   132    5.844               0              20               4;
   133    5.888               0              20               4;
   134    5.932               0              20               4;
   135    5.977               0              20               4;
   136    6.021               0              20               4;
   137    6.065               0              20               4;
   138    6.109               0              20               4;
   139    6.154               0              20               4;
   140    6.198               0              20               4;
   141    6.242               0              20               4;
   142    6.286               0              20               4;
   143    6.331               0              20               4;
   144    6.375               0              20               4;
   145    6.419               0              20               4;
   146    6.464               0              20               4;
   147    6.508               0              20               4;
   148    6.552               0              20               4;
   149    6.596               0              20               4;
   150    6.641               0              20               4;
   151    6.685               0              20               4;
   152    6.729               0              20               4;
   153    6.773               0              20               4;
   154    6.818               0              20               4;
   155    6.862               0              20               4;
   156    6.906               0              20               4;
   157    6.951               0              19               4;
   158    6.995               0              19               4;
   159    7.039               0              19               4;
   160    7.083               0              19               4;
   161    7.128               0              19               4;
   162    7.172               0              19               4;
   163    7.216               0              19               4;
   164    7.260               0              19               4;
   165    7.305               0              19               4;
   166    7.349               0              19               4;
   167    7.393               0              19               4;
   168    7.438               0              19               4;
   169    7.482               0              19               4;
   170    7.526               0              19               4;
   171    7.570               0              19               4;
   172    7.615               0              19               4;
   173    7.659               0              19               4;
   174    7.703               0              19               4;
   175    7.747               0              19               4;
   176    7.792               0              19               4;
   177    7.836               0              19               4;
   178    7.880               0              19               4;
   179    7.924               0              19               4]
