 Sample   Time     Commanded Pos   Encoder 1 Pos   Control Effort

[    0    0.000            3000               0          4.8840;
     1    0.044            3000            1657          0.6905;
     2    0.089            3000            3484         -0.9966;
     3    0.133            3000            2875          2.0125;
     4    0.177            3000            2460          1.8355;
     5    0.221            3000            2779          0.8602;
     6    0.266            3000            2774          1.3434;
     7    0.310            3000            2718          1.3358;
     8    0.354            3000            2727          1.3126;
     9    0.398            3000            2734          1.2589;
    10    0.443            3000            2737          1.3284;
    11    0.487            3000            2730          1.2872;
    12    0.531            3000            2739          1.3013;
    13    0.576            3000            2723          1.3242;
    14    0.620            3000            2743          1.2998;
    15    0.664            3000            2727          1.2970;
    16    0.708            3000            2739          1.2845;
    17    0.753            3000            2726          1.3306;
    18    0.797            3000            2741          1.2674;
    19    0.841            3000            2729          1.3190;
    20    0.885            3000            2736          1.2817;
    21    0.930            3000            2731          1.3196;
    22    0.974            3000            2735          1.2781;
    23    1.018            3000            2732          1.3141;
    24    1.063            3000            2733          1.2903;
    25    1.107            3000            2734          1.3074;
    26    1.151            3000            2732          1.2897;
    27    1.195            3000            2735          1.3059;
    28    1.240            3000            2732          1.2958;
    29    1.284            3000            2735          1.3107;
    30    1.328            3000            2731          1.3053;
    31    1.372            3000            2735          1.2937;
    32    1.417            3000            2732          1.3031;
    33    1.461            3000            2734          1.2949;
    34    1.505               0            2732         -4.8840;
    35    1.549               0             563          1.9872;
    36    1.594               0            -964          2.3474;
    37    1.638               0             -66         -1.0589;
    38    1.682               0             363         -0.6926;
    39    1.727               0             -69          0.5665;
    40    1.771               0             -82          0.0406;
    41    1.815               0              33         -0.1712;
    42    1.859               0              39         -0.0672;
    43    1.904               0               2          0.0788;
    44    1.948               0               4         -0.0662;
    45    1.992               0              23         -0.0388;
    46    2.036               0              12         -0.0272;
    47    2.081               0              28         -0.0446;
    48    2.125               0              -0         -0.0263;
    49    2.169               0              23         -0.0382;
    50    2.214               0              12         -0.0217;
    51    2.258               0              29         -0.0812;
    52    2.302               0               2          0.0116;
    53    2.346               0              21         -0.0632;
    54    2.391               0              16         -0.0324;
    55    2.435               0              23         -0.0784;
    56    2.479               0              12          0.0015;
    57    2.523               0              16         -0.0595;
    58    2.568               0              18         -0.0330;
    59    2.612               0              18         -0.0482;
    60    2.656               0              19         -0.0195;
    61    2.701               0              11         -0.0430;
    62    2.745               0              20         -0.0470;
    63    2.789               0              16         -0.0366;
    64    2.833               0              22         -0.0357;
    65    2.878               0              12         -0.0272;
    66    2.922               0              20         -0.0479;
    67    2.966               0              17         -0.0388;
    68    3.010           -3000               4         -4.8840;
    69    3.055           -3000           -1799         -0.4658;
    70    3.099           -3000           -3449          0.7610;
    71    3.143           -3000           -2822         -2.0720;
    72    3.188           -3000           -2453         -1.8535;
    73    3.232           -3000           -2760         -0.9536;
    74    3.276           -3000           -2758         -1.3810;
    75    3.320           -3000           -2696         -1.4057;
    76    3.365           -3000           -2700         -1.3858;
    77    3.409           -3000           -2712         -1.3092;
    78    3.453           -3000           -2711         -1.4014;
    79    3.497           -3000           -2705         -1.3452;
    80    3.542           -3000           -2715         -1.3532;
    81    3.586           -3000           -2701         -1.3623;
    82    3.630           -3000           -2718         -1.3578;
    83    3.674           -3000           -2703         -1.3544;
    84    3.719           -3000           -2716         -1.3352;
    85    3.763           -3000           -2702         -1.3813;
    86    3.807           -3000           -2718         -1.3288;
    87    3.852           -3000           -2703         -1.3736;
    88    3.896           -3000           -2713         -1.3376;
    89    3.940           -3000           -2706         -1.3773;
    90    3.984           -3000           -2712         -1.3330;
    91    4.029           -3000           -2708         -1.3718;
    92    4.073           -3000           -2710         -1.3462;
    93    4.117           -3000           -2710         -1.3632;
    94    4.161           -3000           -2709         -1.3419;
    95    4.206           -3000           -2711         -1.3642;
    96    4.250           -3000           -2708         -1.3495;
    97    4.294           -3000           -2711         -1.3681;
    98    4.339           -3000           -2707         -1.3620;
    99    4.383           -3000           -2712         -1.3657;
   100    4.427           -3000           -2708         -1.3596;
   101    4.471           -3000           -2712         -1.3504;
   102    4.516               0           -2598          4.8840;
   103    4.560               0             -37         -2.8098;
   104    4.604               0             834         -1.3437;
   105    4.648               0            -158          1.2561;
   106    4.693               0            -293          0.3159;
   107    4.737               0             129         -0.5250;
   108    4.781               0              60          0.0085;
   109    4.826               0             -27          0.0925;
   110    4.870               0              -8         -0.0165;
