 Sample   Time     Commanded Pos   Encoder 1 Pos   Control Effort

[    0    0.000            3000               0          0.0000;
     1    0.044            3000            1400          0.4454;
     2    0.089            3000            3128         -0.7857;
     3    0.133            3000            3543          0.0360;
     4    0.177            3000            3234          0.7866;
     5    0.221            3000            3029          0.7427;
     6    0.266            3000            3005          0.6316;
     7    0.310            3000            3058          0.5684;
     8    0.354            3000            3070          0.5894;
     9    0.398            3000            3071          0.5620;
    10    0.443            3000            3067          0.6142;
    11    0.487            3000            3070          0.5784;
    12    0.531            3000            3071          0.5900;
    13    0.576            3000            3064          0.5827;
    14    0.620            3000            3073          0.6081;
    15    0.664            3000            3067          0.5870;
    16    0.708            3000            3071          0.5894;
    17    0.753            3000            3065          0.6041;
    18    0.797            3000            3075          0.5736;
    19    0.841            3000            3066          0.5968;
    20    0.885            3000            3072          0.5879;
    21    0.930            3000            3068          0.5986;
    22    0.974            3000            3072          0.5751;
    23    1.018            3000            3068          0.6056;
    24    1.063            3000            3070          0.5858;
    25    1.107            3000            3070          0.6071;
    26    1.151            3000            3069          0.5934;
    27    1.195            3000            3071          0.5971;
    28    1.240            3000            3069          0.5757;
    29    1.284            3000            3071          0.5894;
    30    1.328            3000            3068          0.5971;
    31    1.372            3000            3072          0.5882;
    32    1.417            3000            3068          0.5968;
    33    1.461            3000            3071          0.5894;
    34    1.505               0            3055         -3.5934;
    35    1.549               0            1380          0.5263;
    36    1.594               0            -190          1.3382;
    37    1.638               0            -469          0.4631;
    38    1.682               0            -135         -0.2274;
    39    1.727               0              74         -0.2137;
    40    1.771               0             105         -0.0818;
    41    1.815               0              39          0.0095;
    42    1.859               0              18         -0.0305;
    43    1.904               0              18          0.0150;
    44    1.948               0              40         -0.0846;
    45    1.992               0              32         -0.0217;
    46    2.036               0              33         -0.0543;
    47    2.081               0              36         -0.0217;
    48    2.125               0              26         -0.0504;
    49    2.169               0              32         -0.0244;
    50    2.214               0              32         -0.0366;
    51    2.258               0              39         -0.0534;
    52    2.302               0              25         -0.0290;
    53    2.346               0              37         -0.0440;
    54    2.391               0              32         -0.0360;
    55    2.435               0              38         -0.0583;
    56    2.479               0              28         -0.0156;
    57    2.523               0              37         -0.0604;
    58    2.568               0              32         -0.0360;
