 Sample   Time     Commanded Pos   Encoder 1 Pos   Control Effort

[    0    0.000            3000               1          4.1886;
     1    0.044            3000            1364          0.4429;
     2    0.089            3000            2822         -0.0244;
     3    0.133            3000            2913          1.1175;
     4    0.177            3000            2547          1.5201;
     5    0.221            3000            2472          1.2637;
     6    0.266            3000            2511          1.1804;
     7    0.310            3000            2546          1.1993;
     8    0.354            3000            2532          1.2469;
     9    0.398            3000            2537          1.1856;
    10    0.443            3000            2528          1.2469;
    11    0.487            3000            2534          1.2073;
    12    0.531            3000            2533          1.2329;
    13    0.576            3000            2532          1.1957;
    14    0.620            3000            2534          1.2402;
    15    0.664            3000            2532          1.2100;
    16    0.708            3000            2534          1.2195;
    17    0.753            3000            2529          1.2088;
    18    0.797            3000            2536          1.2329;
    19    0.841            3000            2531          1.2063;
    20    0.885            3000            2534          1.2189;
    21    0.930            3000            2530          1.2302;
    22    0.974            3000            2536          1.2146;
    23    1.018            3000            2531          1.2256;
    24    1.063            3000            2534          1.2149;
    25    1.107            3000            2531          1.2286;
    26    1.151            3000            2535          1.2112;
    27    1.195            3000            2532          1.2299;
    28    1.240            3000            2533          1.2167;
    29    1.284            3000            2533          1.2207;
    30    1.328            3000            2533          1.2207;
    31    1.372            3000            2533          1.2366;
    32    1.417            3000            2533          1.2207;
    33    1.461            3000            2534          1.2170;
    34    1.505               0            2532         -2.9673;
    35    1.549               0            1028          0.9887;
    36    1.594               0            -395          1.3349;
    37    1.638               0            -454          0.1377;
    38    1.682               0             -12         -0.4045;
    39    1.727               0             123         -0.1484;
    40    1.771               0              67          0.0351;
    41    1.815               0             -12          0.0568;
    42    1.859               0             -18         -0.0024;
    43    1.904               0             -15          0.0433;
    44    1.948               0               3         -0.0345;
    45    1.992               0               5          0.0009;
    46    2.036               0               4         -0.0159;
    47    2.081               0               9          0.0122;
    48    2.125               0               3         -0.0235;
    49    2.169               0               4          0.0095;
    50    2.214               0              -0          0.0037;
    51    2.258               0               6         -0.0076;
    52    2.302               0              -4         -0.0119;
    53    2.346               0               4          0.0110;
    54    2.391               0              -2          0.0015;
    55    2.435               0               4         -0.0092;
    56    2.479               0              -5          0.0113;
    57    2.523               0               3         -0.0107;
    58    2.568               0              -2          0.0070;
    59    2.612               0               2         -0.0101;
    60    2.656               0              -3          0.0165;
    61    2.701               0               1         -0.0168;
    62    2.745               0              -2          0.0085;
    63    2.789               0              -1          0.0009;
    64    2.833               0              -1          0.0143;
    65    2.878               0              -3         -0.0040;
    66    2.922               0              -1          0.0009;
