 Sample   Time     Commanded Pos   Encoder 1 Pos   Control Effort

[    0    0.000            3000               0          0.0000;
     1    0.044            3000             511          0.4563;
     2    0.089            3000            1467          0.0907;
     3    0.133            3000            2245          0.1841;
     4    0.177            3000            2718          0.3684;
     5    0.221            3000            2975          0.4795;
     6    0.266            3000            3080          0.5806;
     7    0.310            3000            3125          0.6114;
     8    0.354            3000            3136          0.6334;
     9    0.398            3000            3140          0.6200;
    10    0.443            3000            3140          0.6322;
    11    0.487            3000            3142          0.6288;
    12    0.531            3000            3142          0.6316;
    13    0.576            3000            3143          0.6203;
    14    0.620            3000            3144          0.6313;
    15    0.664            3000            3145          0.6310;
    16    0.708            3000            3145          0.6310;
    17    0.753            3000            3145          0.6310;
    18    0.797            3000            3146          0.6300;
    19    0.841            3000            3145          0.6310;
    20    0.885            3000            3146          0.6306;
    21    0.930            3000            3146          0.6306;
    22    0.974            3000            3146          0.6306;
    23    1.018            3000            3146          0.6306;
    24    1.063            3000            3146          0.6306;
    25    1.107            3000            3146          0.6306;
    26    1.151            3000            3146          0.6306;
    27    1.195            3000            3146          0.6306;
    28    1.240            3000            3146          0.6306;
    29    1.284            3000            3146          0.6306;
    30    1.328            3000            3146          0.6306;
    31    1.372            3000            3146          0.6306;
    32    1.417            3000            3146          0.6306;
    33    1.461            3000            3146          0.6306;
    34    1.505               0            3146         -0.9222;
    35    1.549               0            2547          0.2207;
    36    1.594               0            1631          0.4719;
    37    1.638               0             935          0.3440;
    38    1.682               0             519          0.1993;
    39    1.727               0             290          0.0797;
    40    1.771               0             199          0.0247;
    41    1.815               0             156         -0.0143;
    42    1.859               0             151         -0.0611;
    43    1.904               0             148         -0.0351;
    44    1.948               0             154         -0.0516;
    45    1.992               0             151         -0.0437;
    46    2.036               0             152         -0.0446;
    47    2.081               0             150         -0.0345;
    48    2.125               0             152         -0.0501;
    49    2.169               0             151         -0.0333;
    50    2.214               0             151         -0.0443;
    51    2.258               0             152         -0.0446;
    52    2.302               0             151         -0.0611;
    53    2.346               0             152         -0.0287;
    54    2.391               0             151         -0.0443;
    55    2.435               0             152         -0.0446;
    56    2.479               0             150         -0.0412;
    57    2.523               0             152         -0.0449;
    58    2.568               0             150         -0.0412;
